80,500
134,445
51,98
28,65
35,426
74,154
160,330
9,306
35,98
96,424
135,153
53,135
114,267
2,310
90,270
188,332
181,170
29,139
27,442
91,160
116,183
76,269
37,482
163,442
42,212
10,69
35,265
178,120
88,128
13,311
63,485
190,483
59,135
182,272
173,484
134,304
139,395
151,279
68,66
117,387
184,451
119,75
112,325
195,165
197,45
163,292
162,6
103,421
79,457
78,37
3,482
198,480
49,262
64,441
35,18
140,251
60,227
121,30
158,175
173,379
36,123
90,135
187,60
189,292
48,331
91,480
119,497
115,320
171,71
190,168
27,426
131,108
49,435
70,224
86,430
153,64
96,71
85,46
1,104
170,400
20,136
